Archivaliensignatur,Datierung von(Zahl),Datierung bis(Zahl),Datierung (Text),Klassifikationsgruppe,Aktentitel,Enthält-Vermerk,Umfang der Akte (Blattzahl),Sortierfeld (intern)
F 10212,19370101,19521231,1937 - 1952,13.26 Firmen W,"Weigel, Theodor Oswald, Verlag, Inhaber Dr. h.c. Theodor Oswald Weigel, Leipzig",,27 Bl.,"Weigel, Theodor Oswald"
F 10213,19370101,19451231,1937 - 1945,13.26 Firmen W,"Weigel Nachf. H. A. Brenner, Ferd., Sortiment und Antiquariat, Nürnberg",,7 Bl.,"Weigel, Ferd."
F 10214,19370101,19481231,1937 - 1948,13.26 Firmen W,"Weigel, Gustav Emil, Buch-, Musikalien- und Papierhandlung, Olbernhau",,25 Bl.,"Weigel, Gustav Emil"
F 10215,19370101,19441231,1937 - 1944,13.26 Firmen W,"Weigel's Buch- und Kunsthandlung vorm. Ed. Ahl G.m.b.H., Inhaberin Elise Weigel geb. Ahl, Rastenburg",,6 Bl.,"Weigels Buch- und Kunsthandlung, Elise"
F 10216,19370101,19451231,1937 - 1945,13.26 Firmen W,"Weigend, C., Buch-, Kunst-, Musikalien- und Papierhandlung, Buchbinderei, Inhaber Julius Weigend, Waidhofen a.d. Ybbs (Österreich)",,16 Bl.,"Weigend, C."
F 10217,19370101,19461231,1937 - 1946,13.26 Firmen W,"Weigmann, C. F., Buch-, Kunst- und Musikalienhandlung, Inhaber Hans, später Margarete Lerch, Schweidnitz, später Glauchau",,24 Bl.,"Weigmann, C. F."
F 10218,19370101,19501231,1937 - 1950,13.26 Firmen W,"Weiland Nachf., Gustav, Buchhandlung, Lehrmittelhandlung, Antiquariat, Inhaber Otto Hamkens, Lübeck",,13 Bl.,"Weiland Nachf., Gustav"
F 10219,19360101,19431231,1936 - 1943,13.26 Firmen W,"Weimann, E. G., Reise- und Versandbuchhandlung, Inhaber Alfred Höhndorf, Leipzig, später Verlag Hans Holzmann, Berlin",,53 Bl.,"Weimann, E. G."
F 10220,19360101,19511231,1936 - 1951,13.26 Firmen W,"Weinberger, Josef, Musikalien- und Bühnenverlag, Geschäftsführer Dr. Otto Blau, später Dr. Hans Sikorski, Wien (Österreich), London und Leipzig ",,63 Bl.,"Weinberger, Josef"
F 10222,19370101,19381231,1937 - 1938,13.26 Firmen W,"Weinfurter G.m.b.H., E., Buchhandlung, Prag (Tschechien)",,6 Bl.,"Weinfurter, E. Buchhandlung"
F 10223,19370101,19431231,1937 - 1943,13.26 Firmen W,"Weinfurter, E., Verlag, Prag (Tschechien)",,5 Bl.,"Weinfurter, E., Verlag"
F 10224,19310101,19451231,1931 - 1945,13.26 Firmen W,"Weingärtner, Wilhelm, Grossantiquariat, Wien (Österreich)",,49 Bl.,"Weingärtner, Wilhelm"
F 10225,19360101,19401231,1936 - 1940,13.26 Firmen W,"Weinhard, Johs., Buch- und Papierhandlung, Inhaberin Hilde Krüger, Ratzeburg",,16 Bl.,"Weinhard, Johs."
F 10226,19370101,19371231,1937,13.26 Firmen W,"Weinhold & Matthias, Buchhandlung, Inhaber Otto Matthias, Ludwigshafen",,5 Bl.,Weinhold & Matthias
F 10227,19330101,19381231,1933 - 1938,13.26 Firmen W,"Weinhold vorm. Bücherstube A.-G., Willi, Buch- und Landkartenhandlung, St. Gallen (Schweiz)",,38 Bl.,"Weinhold, Willi"
F 10228,19370101,19371231,1937,13.26 Firmen W,"Weinig Inhaber Franz Stein, Konrad, Buchhandlung, Buchdruckerei und Buchbinderei, Tauberbischofsheim",,2 Bl.,"Weinig, Konrad"
F 10229,19340101,19371231,1934 - 1937,13.26 Firmen W,"Weinmann, Wilhelm, Buch- und Schreibwarenhandlung, Buchbinderei, Ottweiler (Saar)",,4 Bl.,"Weinmann, Wilhelm"
F 10230,19370101,19491231,1937 - 1949,13.26 Firmen W,"Weinmayer, C., Verlagsbuchhandlung, Buchdruckerei, Buch- und Papierhandlung, Inhaber Sebastian Weinmayer, Mainburg",,33 Bl.,"Weinmayer, C."
F 10231,19370101,19391231,1937 - 1939,13.26 Firmen W,"Weis, Stahler & Knorr, Zeitungs-Expedition und Kommissions-Buchhandlung, Inhaber Leopold Stahler und Paul Knorr, später Knorr und Sohn, Wien (Österreich)",,5 Bl.,"Weis, Stahler & Knorr"
F 10232,19370101,19381231,1937 - 1938,13.26 Firmen W,"Weisbrod, Aug., Verlag und Buchdruckerei, Inhaber Oswald und Cornelia John, Frankfurt (Main)",,6 Bl.,"Weisbrod, Aug."
F 10233,19370101,19471231,1937 - 1947,13.26 Firmen W,"Weise's Buchhandlung, Emil, Buchhandlung, Antiquariat und Verlag, Inhaber Karl Eymann, Dresden",,56 Bl.,"Weises Buchhandlung, Emil"
F 10234,19370101,19481231,1937 - 1948,13.26 Firmen W,"Weise, Hans, Buch- und Lehrmittelversand, Dresden",,17 Bl.,"Weise, Hans"
F 10235,19330101,19511231,1933 - 1951,13.26 Firmen W,"Weise Verlag G.m.b.H., Gustav, Leipzig, später Berlin",,111 Bl.,"Weise Verlag, Gustav"
F 10236,19370101,19401231,1937 - 1940,13.26 Firmen W,"Weise sen., G., Buchhandlung, Briefmarkenhandlung, Inhaber Adolf Vogelmann, Stuttgart",,11 Bl.,"Weise, G. sen."
F 10237,19370101,19481231,1937 - 1948,13.26 Firmen W,"Weise's Hofbuchhandlung, Julius, Sortiments-, Antiquariats-, Reise- und Versandbuchhandlung, Inhaber Paul Erpf, Stuttgart",,47 Bl.,"Weises Hofbuchhandlung, Julius"
F 10238,19340101,19451231,1934 - 1945,13.26 Firmen W,"Weiser, L., Versandbuchhandlung, späterer Inhaber Alfred Wolf, Wien (Österreich)",Enthält u. a.: Hinweise auf die Arisierung des Unternehmens,69 Bl.,"Weiser, L."
F 10239,19390101,19411231,1939 - 1941,13.26 Firmen W,"Weiss & Söhne Nachf. Kaerner & Jahnke, Buchhandlung, Inhaberin Charlotte Kaerner, Bergzabern",,8 Bl.,Weiss & Söhne
F 10240,19360101,19391231,1936 - 1939,13.26 Firmen W,"Weiss & Co, Friedrich, Fa. in Konkurs, Berlin",,10 Bl.,"Weiss & Co, Friedrich"
F 10241,19370101,19421231,1937 - 1942,13.26 Firmen W,"Weiss, Herbert, Reise- und Versandbuchhandlung, Berlin",,4 Bl.,"Weiss, Herbert"
F 10242,19370101,19451231,1937 - 1945,13.26 Firmen W,"Weiss, J. M., Reise- und Versandbuchhandlung, Inhaber Josef Maria Weiss, Berlin",,20 Bl.,"Weiss, J. M."
F 10243,19370101,19441231,1937 - 1944,13.26 Firmen W,"Weiss, Joseph, Katholische Buch- und Kunsthandlung, Inhaberin Auguste Weiss, Berlin",,6 Bl.,"Weiss, Joseph"
F 10244,19370101,19461231,1937 - 1946,13.26 Firmen W,"Weiss Musikverlag Walter Thomaß, Julius, Berlin",,5 Bl.,"Weiss Musikverlag, Julius"
F 10245,19370101,19371231,1937,13.26 Firmen W,"Weiss, Max, Buchhandlung, Berlin",,4 Bl.,"Weiss, Max"
F 10246,19370101,19501231,1937 - 1950,13.26 Firmen W,"Weiss'sche Universitätsbuchhandlung Inhaber Eduard Faust, Heidelberg",,9 Bl.,Weisssche Universitätsbuchhandlung Heidelberg
F 10247,19370101,19791231,1937 - 1979,13.26 Firmen W,"Weiss'sche Buchhandlung Georg Schiermack, Fr., Buch-, Kunst- und Musikalienhandlung, Grünberg, später Herbert Hopke, Guben",,32 Bl.,"Weisssche Buchhandlung, Fr."
F 10248,19370101,19451231,1937 - 1945,13.26 Firmen W,"Weiss, Ernst, Bücherklause, Stuttgart",,4 Bl.,"Weiss, Ernst"
F 10249,19370101,19481231,1937 - 1948,13.26 Firmen W,"Weiss, Johann, Buch-, Musikalien-, Papier- und Schreibwarenhandlung, Inhaber Erich Weiss, Waltershausen",,72 Bl.,"Weiss, Johann"
F 10250,19370101,19741231,1937 - 1974,13.26 Firmen W,"Weissbach, M. Linus, Musikalien-Verlag, Musikinstrumentenhandlung, Theaterbuch- und Papierhandlung, Burgstädt",,28 Bl.,"Weissbach, M. Linus"
F 10251,19370101,19501231,1937 - 1950,13.26 Firmen W,"Weissbach Verlag, Richard, Heidelberg ",,30 Bl.,"Weissbach Verlag, Richard"
F 10252,19370101,19481231,1937 - 1948,13.26 Firmen W,"Weissenberger K.G., Josef, Buch-, Kunst- und Musikalienhandlung, Pers. haft. Ges. Josef Weissenberger jun. und Ernst Weissenberger, St. Blasien",,11 Bl.,"Weissenberger, Josef"
F 10253,19370101,19431231,1937 - 1943,13.26 Firmen W,"Weissenfels & Co., Wilh., Zeitschriften-Buchhandlung, Inhaber Wilh., Heinz und Peter Weissenfels, Bonn",,8 Bl.,"Weissenfels & Co., Wilhelm"
F 10254,19370101,19531231,1937 - 1953,13.26 Firmen W,"Weissenseer Buchhandlung Reinhard Wilbrandt, Berlin",,13 Bl.,Weissenseer Buchhandlung
F 10255,19370101,19501231,1937 - 1950,13.26 Firmen W,"Weisser, Hugo, Sortiments-, Papier- und Musikalienhandlung, Falkenstein",,26 Bl.,"Weisser, Hugo"
F 10256,19370101,19431231,1937 - 1943,13.26 Firmen W,"Weisser, Oswald, Buch- und Papierhandlung, Bad Warmbrunn",,25 Bl.,"Weisser, Oswald"
F 10257,19370101,19431231,1937 - 1943,13.26 Firmen W,"Weißert, Friedrich, Buch-, Kunst- und Papierhandlung, Görbersdorf",,28 Bl.,"Weißert, Friedrich"
F 10258,19370101,19411231,1937 - 1941,13.26 Firmen W,"Weisshappel, Heinrich, Exportbuchhandlung, Grossantiquariat, Wien (Österreich)",,16 Bl.,"Weisshappel, Heinrich"
F 10259,19370101,19501231,1937 - 1950,13.26 Firmen W,"Weitbrecht & Marissal, Sortimentsbuchhandlung, Inhaber Theodor Weitbrecht und Adolf Marissal, Hamburg",,48 Bl.,Weitbrecht & Marissal
F 10260,19370101,19481231,1937 - 1948,13.26 Firmen W,"Weitsicht-Verlag Ernst Agahd, Berlin",,23 Bl.,Weitsicht-Verlag Berlin
F 10261,19390101,19391231,1939,13.26 Firmen W,"Weitzinger, F., Buchverkaufsstelle, Inhaberin Gisela Sedlak, Radkersburg (Österreich)",,6 Bl.,"Weitzinger, F."
F 10262,19370101,19411231,1937 - 1941,13.26 Firmen W,"Welchert, M. & W., Buchdruckerei und Zeitungsverlag, Inhaber Willi Welchert, Aschersleben",,8 Bl.,"Welchert, M. & W."
F 10263,19370101,19481231,1937 - 1948,13.26 Firmen W,"Welcker, Alfred, Buch-, Papier- und Musikalienhandlung, Buchbinderei, Inhaber FriedrichTrunz, Waldenburg",,13 Bl.,"Welcker, Alfred"
F 10264,19370101,19411231,1937 - 1941,13.26 Firmen W,"Welkhammer, Josef, Buchhandlung und Antiquariat, Wien (Österreich)",,20 Bl.,"Welkhammer, Josef"
F 10265,19370101,19541231,1937 - 1954,13.26 Firmen W,"Weller'sche Buchhandlung (Oscar Roesger) Inhaber Walter Stark, Buch-, Antiquariats- und Lehrmittelhandlung, Bautzen",,40 Bl.,Weller'sche Buchhandlung Bautzen
F 10266,19370101,19571231,1937 - 1957,13.26 Firmen W,"Weller, C. A., Verlag, Reise- und Versandbuchhandlung, Inhaber Carl Weller, Berlin, spätere Inhaber Anton und Elsa Schuhmacher, Berlin und Wiesbaden",,43 Bl.,"Weller, C. A."
F 10267,19350101,19491231,1935 - 1949,13.26 Firmen W,"Weller vorm. Johannes Hermann, Aloys, Buch- und Lehrmittelhandlung, Bad Ems",,10 Bl.,"Weller, Aloys"
F 10268,19370101,19571231,1937 - 1957,13.26 Firmen W,"Weller & Co. Verlag, Curt, Leipzig, später Konstanz",,53 Bl.,"Weller Verlag, Curt"
F 10269,19370101,19381231,1937 - 1938,13.26 Firmen W,"Wellnitz Inhaber Otto Weydert, W., Sortiment und Antiquariat, Berlin",,4 Bl.,"Wellnitz, W."
F 10270,19300101,19301231,1930,13.01 Firmen A,"""Atheneum"" Librairie et Bibliothéque, Belgrad (Jugoslavien)",,2 Bl.,Atheneum
F 10271,19360101,19481231,1936 - 1948,13.26 Firmen W,"Weltbuchhandel G.m.b.H., Geschäftsführer Max Breitfeld und Gotthold Müller, später Exportbuchhandel Breitfeld & Co., Inhaber Dr. Ernst und Dr. Hans Emil Reclam, Leipzig",,29 Bl.,Weltbuchhandel G.m.b.H.
F 10278,19370101,19381231,1937 - 1938,13.26 Firmen W,"Weltenberg, Felix, Verlag, Berlin",,5 Bl.,"Weltenberg, Felix"
F 10279,19330101,19371231,1933 - 1937,13.26 Firmen W,"Welter, H., (Mansi-Verlag), Inhaberin Luise Welter, Arnheim (Arnhem, Niederlande)",,6 Bl.,"Welter, H."
F 10280,19310101,19431231,1931 - 1943,13.26 Firmen W,"Welther, H., Reise- und Versandbuchhandlung, Hermannstadt (Sibiu, Rumänien)",,54 Bl.,"Welther, H."
F 10281,19360101,19481231,1936 - 1948,13.26 Firmen W,"Weltkunst-Verlag G.m.b.H., Geschäftsführer und späterer Inhaber Carl August Breuer, Berlin, später Nauen",,17 Bl.,Weltkunst-Verlag Berlin 
F 10282,19370101,19481231,1937 - 1948,13.26 Firmen W,"Weltrundschau, Presse-Photo-Verlag Wilhelm Seidel, Berlin",,5 Bl.,Weltrundschau Berlin
F 10283,19370101,19391231,1937 - 1939,13.26 Firmen W,"Weltverlag Inhaber Rudolf Lüdemann sen., Verlags- und Versandbuchhandlung, Stuttgart",,6 Bl.,Weltverlag Stuttgart
F 10284,19370101,19471231,1937 - 1947,13.26 Firmen W,"Welzel Buch- und Werbedruck-Ges., Buchdruckerei und Verlag, Inhaber Kurt, Walter und Bruno Welzel, Dresden",,17 Bl.,Welzel Buch- und Werbedruck-Ges.
F 10285,19370101,19421231,1937 - 1942,13.26 Firmen W,"Die Wende Verlag G.m.b.H., Geschäftsführer Paul Baumann, München und Berlin",,8 Bl.,"Wende Verlag, Die"
F 10286,19370101,19431231,1937 - 1943,13.26 Firmen W,"Wendel, Maximilian, Verlags- und Versandbuchhandlung, Inhaber E. H. C. Lange und P. Meuche, Leipzig",,9 Bl.,"Wendel, Maximilian"
F 10287,19370101,19441231,1937 - 1944,13.26 Firmen W,"Wendelberger, Franz, später Herbert Winkler, Buchhandlung, Neuern ",,14 Bl.,"Wendelberger, Franz"
F 10288,19300101,19521231,1930 - 1952,13.26 Firmen W,"Wendepunkt-Verlag A.-G., Direktor Anna Moser, Zürich (Schweiz), später auch Zürich und Leipzig",,70 Bl.,Wendepunkt-Verlag
F 10289,19370101,19531231,1937 - 1953,13.26 Firmen W,"Wendler & Lau, Buch- und Musikalienhandlung, Inhaber Max Wendler, später Erna Stütz, Crimmitschau",,31 Bl.,Wendler & Lau
F 10290,19370101,19381231,1937 - 1938,13.26 Firmen W,"Wendler Inhaber Kurt Wendler, Paul, Musikinstrumenten- und Musikalienhandlung, Wettin",,5 Bl.,"Wendler, Paul"
F 10291,19370101,19431231,1937 - 1943,13.26 Firmen W,"Wendorff, Richard, Buch- und Papierhandlung, Pasewalk",,15 Bl.,"Wendorff, Richard"
F 10293,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wendt, Heino, Buchhandlung, Verlag und Buchdruckerei, Arnswalde, später Delitzsch",,21 Bl.,"Wendt, Heino"
F 10294,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wendt G.m.b.H., Hermann, Verlag und Buchdruckerei, Geschäftsführer Wilhelm Gründler, Berlin",,20 Bl.,"Wendt, Hermann"
F 10295,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wendt & Matthes, Verlagsbuchhandlung und Buchdruckerei, Inhaber Hans Pusch, später Hans Pusch Verlagsbuchhandlung, Berlin ",,20 Bl.,Wendt & Matthes
F 10296,19370101,19381231,1937 - 1938,13.26 Firmen W,"Wendt & Klauwell, Verlagsbuchhandlung, Inhaber Walther Jäh, Halle (Saale)",,4 Bl.,Wendt & Klauwell
F 10297,19370101,19411231,1937 - 1941,13.26 Firmen W,"Wendtlandt, Erich, Buch-, Musikalien-, Papier- und Kunsthandlung, Inhaberin Else Wendtlandt, Schlochau",,8 Bl.,"Wendtlandt, Erich"
F 10298,19370101,19491231,1937 - 1949,13.26 Firmen W,"Weng, Hugo, Katholische Buch- und Kunsthandlung, späterer Inhaber Alfons Forster, Berlin",,38 Bl.,"Weng, Hugo"
F 10299,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wengenmayr, Max, Buchhandlung, Schreibwarenhandlung, Bürobedarf, Immenstadt",,5 Bl.,"Wengenmayr, Max"
F 10301,19340101,19421231,1934 - 1942,13.26 Firmen W,"Wenger, E. M., Deutsche Buchhandlung, Buenos Aires (Argentinien)",,59 Bl.,"Wenger, E. M."
F 10302,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wenisch, Josef, Sortiments- und Versandbuchhandlung, Ulm (Donau)",,20 Bl.,"Wenisch, Josef"
F 10303,19370101,19371231,1937,13.26 Firmen W,"Wennbergs Bokhandel, Ivar, Västeras (Schweden)",,2 Bl.,"Wennberg, Ivar"
F 10304,19370101,19431231,1937 - 1943,13.26 Firmen W,"Wentzel, Walter, Buchhandlung und Antiquariat, Berlin",,21 Bl.,"Wentzel, Walter"
F 10305,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wentzlau, Kurt, Buch- und Papierhandlung, Magdeburg",,11 Bl.,"Wentzlau, Kurt"
F 10306,19370101,19501231,1937 - 1950,13.26 Firmen W,"Wenzel & Sohn, Gustav, Verlagsbuchhandlung und Buchdruckerei, Geschäftsführer Hugo Weise, Braunschweig",,18 Bl.,"Wenzel & Sohn, Gustav"
F 10307,19370101,19431231,1937 - 1943,13.26 Firmen W,"Wenzel, Bruno, Kunsthandlung und Rahmenfabrik, Inhaberin Isabella verw. Wenzel, Breslau",,5 Bl.,"Wenzel, Bruno"
F 10308,19370101,19511231,1937 - 1951,13.26 Firmen W,"Wenzels Buchhandlung Ulrich Vermehren, Leonhard, Garmisch-Partenkirchen",,13 Bl.,"Wenzel, Leonhard"
F 10309,19370101,19431231,1937 - 1943,13.26 Firmen W,"Wenzel, Emil, Buch-, Papier- und Musikalienhandlung, Bahnhofsbuchhandlung, Waldenburg-Altwasser",,28 Bl.,"Wenzel, Emil"
F 10310,19370101,19451231,1937 - 1945,13.26 Firmen W,"Wepf & Cie., B., Sortimentsbuchhandlung, Antiquariat, Verlag, Inhaber Bernhard Wepf, Basel (Schweiz)",,53 Bl.,"Wepf & Cie., Bernhard"
F 10311,19370101,19501231,1937 - 1950,13.26 Firmen W,"Werber, Karl, Buchhandlung, Honnef (Rhein)",,14 Bl.,"Werber, Karl"
F 10312,19370101,19411231,1937 - 1941,13.26 Firmen W,"Werckmeisters Kunstverlag, Inhaber R. Werckmeister, später Karl Werckmeisters Kunsthandlung, Berlin",,9 Bl.,Werckmeisters Kunstverlag
F 10313,19370101,19511231,1937 - 1951,13.26 Firmen W,"Werkbund Richard Binotsch & Co. Druckerei und Verlag, später Werkbund-Verlag Würzburg Binotsch & Waltmann, Würzburg",,26 Bl.,Werkbund Richard Binotsch & Co. 
F 10314,19370101,19401231,1937 - 1940,13.26 Firmen W,"Wermann's Buch- und Kunsthandlung Alfred Tittel, Otto, Altenburg",,11 Bl.,"Wermann, Otto"
F 10315,19370101,19711231,1937 - 1971,13.26 Firmen W,"Werneburg, C., Buch-, Kunst- und Musikalienhandlung, Inhaberin Elisabeth Werneburg, Bad Frankenhausen",,49 Bl.,"Werneburg, C."
F 10316,19370101,19491231,1937 - 1949,13.26 Firmen W,"Werneburg, Friedrich, Sortimentsbuchhandlung, Inhaber Hans-Erich und Hellmut Werneburg, Lübbecke",,7 Bl.,"Werneburg, Friedrich"
F 10317,19370101,19401231,1937 - 1940,13.26 Firmen W,"Werner, Max, Buch-, Kunst-, Musikalien- und Schreibwarenhandlung, Inhaber Oskar Stringe, Bartenstein",,6 Bl.,"Werner, Max"
F 10318,19370101,19491231,1937 - 1949,13.26 Firmen W,"Werner, Heinrich, Buch-, Papier- und Schreibwarenhandlung, Essen",,23 Bl.,"Werner, Heinrich Essen"
F 10319,19360101,19901231,1936 - 1990,13.26 Firmen W,"Werner, Eberhard, Buchhandlung, Leihbücherei, Zeitschriften-Zentrale, späterer Inhaber Willi Friedhelm, Frankfurt (Oder), später Torgau",,73 Bl.,"Werner, Ebert"
F 10320,19370101,19521231,1937 - 1952,13.26 Firmen W,"Werner, Heinrich, Reisebuchhandlung, Leipzig, später Annelise Risch geb. Werner, Liebertwolkwitz",,42 Bl.,"Werner, Heinrich Leipzig"
F 10321,19370101,19421231,1937 - 1942,13.26 Firmen W,"Werner, Julius, Verlag, Inhaberin Elise Marie Werner, Leipzig",,16 Bl.,"Werner, Julius"
F 10323,19370101,19491231,1937 - 1949,13.26 Firmen W,"Werner, Chr., Musikalienhandlung, Inhaber Max Werner, München",,4 Bl.,"Werner, Chr."
F 10324,19370101,19491231,1937 - 1949,13.26 Firmen W,"Werner, L., Buchhandlung, Antiquariat, Verlag, Inhaber Josef Söhngen, München",,17 Bl.,"Werner, L."
F 10326,19370101,19401231,1937 - 1940,13.26 Firmen W,"Werner, Max, Bahnhofsbuchhandlung, Oppeln",,5 Bl.,"Werner, Max"
F 10327,19370101,19421231,1937 - 1942,13.26 Firmen W,"Werner, Carl, Verlag und Grossdruckerei, Inhaber Erich, Kurt und Carl Werner, Reichenbach",,8 Bl.,"Werner, Carl"
F 10328,19310101,19401231,1931 - 1940,13.26 Firmen W,"Werners Nachf. Franz Weiser, Viktor, Buch-, Musikalien- und Papierhandlung, Römerstadt (Rýmarov, Tschechien)",,26 Bl.,"Werner, Viktor"
F 10329,19370101,19501231,1937 - 1950,13.26 Firmen W,"Werner, Selma, Bahnhofsbuchhandlung, spätere Inhaberin Martha Seifferth, Zwickau",,23 Bl.,"Werner, Selma"
F 10330,19370101,19481231,1937 - 1948,13.26 Firmen W,"Wernicke, Oswald, Buch- und Schreibwarenhandlung, Bromberg (Bydgoszcz, Polen), später Potsdam-Babelsberg",,14 Bl.,"Wernicke, Oswald"
F 10331,19370101,19411231,1937 - 1941,13.26 Firmen W,"Wernthal, Otto, Musikverlag, Inhaber Robert Lienau, Berlin",,9 Bl.,"Wernthal, Otto"
F 10332,19370101,19491231,1937 - 1949,13.26 Firmen W,"Werth Söhne Inhaber Heinrich und Franz Werth, F. C., Verlags-, Sortimentsbuch- und Musikalienhandlung, Schreibwarenhandlung, Buchdruckerei, Warburg",,45 Bl.,"Werth Söhne, F. C."
F 10333,19300101,19541231,1930 - 1954,13.26 Firmen W,"Wertheim G.m.b.H., A., (Centrale), Abt. für Buch-, Kunst- und Musikalienhandel, Geschäftsführer Emil Kersten, Berlin, Breslau, Rostock, Stralsund",,275 Bl.,Wertheim G.m.b.H.
F 10334,19370101,19491231,1937 - 1949,13.26 Firmen W,"Werther Nachfolger, Reinhold, Sortimentsbuchhandlung, Musikalien- und Schreibwarenhandlung, Inhaber Günther Thienemann, Hann. Münden",,19 Bl.,"Werther, Reinhold"
F 10335,19360101,19711231,1936 - 1971,13.26 Firmen W,"Wesch Inhaberin Helene Wesch, Philipp, Buch- und Lehrmittelhandlung, Leipzig",,26 Bl.,"Wesch, Philipp"
F 10336,19370101,19441231,1937 - 1944,13.26 Firmen W,"Weselka, Hans, Musikalienhandlung, Verlag und Antiquariat, Wien (Österreich)",,3 Bl.,"Weselka, Hans"
F 10337,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wesemeyer, Kurt, Reise- und Versandbuchhandlung, Hamburg",,36 Bl.,"Wesemeyer, Kurt"
F 10338,19370101,19431231,1937 - 1943,13.26 Firmen W,"Wessel & Vett A./S., Th., Kaufhaus, Abt. Modernes Antiquariat, Kopenhagen (Dänemark)",,4 Bl.,Wessel & Vett
F 10339,19310101,19531231,1931 - 1953,13.26 Firmen W,"Wessel's Musikhaus, H., Inhaber Ernst Loehrer-Wessel, später Albin Höllinger, Seestadt Rostock",,44 Bl.,"Wessels Musikhaus, H."
F 10340,19330101,19481231,1933 - 1948,13.26 Firmen W,"Wessobrunner-Verlag G.m.b.H., Geschäftsführer und späterer Inhaber Dr. Georg Lüttke, Berlin",,107 Bl.,Wessobrunner-Verlag 
F 10341,19360101,19501231,1936 - 1950,13.26 Firmen W,"Westdeutsche Kaufhof A.-G., Buch- und Musikalienhandlung, Abt.-Leiter Heinrich Wendel, Filialen Düsseldorf, Frankfurt (Main), Kassel und Wuppertal, Köln",,141 Bl.,Westdeutsche Kaufhof A.-G.
F 10342,19370101,19481231,1937 - 1948,13.26 Firmen W,"Westdeutsche Lehrmittel-Anstalt Arthur Haumann, Essen und Koblenz",,19 Bl.,Westdeutsche Lehrmittel-Anstalt
F 10343,19300101,19421231,1930 - 1942,13.26 Firmen W,"Westdeutsche Verlagsgesellschaft m.b.H., Geschäftsführer Otto Rippel, Siegen",,24 Bl.,Westdeutsche Verlagsgesellschaft Siegen
F 10344,19370101,19381231,1937 - 1938,13.26 Firmen W,"Westdeutsche Verlags- und Vertriebsgesellschaft m.b.H., Fa. in Konkurs, Essen",,5 Bl.,Westdeutsche Verlags- und Vertriebsgesellschaft Essen
F 10345,19370101,19451231,1937 - 1945,13.26 Firmen W,"Westdeutscher Beobachter G.m.b.H., Verlag und Buchvertrieb, Geschäftsführer Richard Jahr, Köln",,53 Bl.,Westdeutscher Beobachter
F 10346,19370101,19491231,1937 - 1949,13.26 Firmen W,"Westdeutscher Jungmännerbund, Verlag, Buchhandlung und Buchdruckerei, Geschäftsführer Richard Hirsch, Wuppertal-Barmen",,17 Bl.,Westdeutscher Jungmännerbund
F 10347,19370101,19431231,1937 - 1943,13.26 Firmen W,"Westdeutscher Kurzschrift-Verlag G.m.b.H., Geschäftsführer Robert Flockenhaus, Wuppertal-Barmen",,17 Bl.,Westdeutscher Kurzschrift-Verlag
F 10348,19360101,19491231,1936 - 1949,13.26 Firmen W,"Westdeutscher Lutherverlag G.m.b.H. zu Witten, Apologetische Centrale und Christliche Buch- und Kunsthandlung, Geschäftsführer Hendrik Nijhuis, Witten",,15 Bl.,Westdeutscher Lutherverlag
F 10349,19370101,19491231,1937 - 1949,13.26 Firmen W,"Wester, Gebrüder, Abt. Buchhandel, Inhaber Paul Wester, Andernach (Rhein)",,7 Bl.,"Wester, Gebrüder"
F 10350,19400101,19411231,1940 - 1941,13.26 Firmen W,"Westergaard's Eftf. Axel Wedel, J. H., Buch-, Papier- und Kunsthandlung, Gramby (Dänemark)",,8 Bl.,"Westergaards Eftf., J. H."
F 10351,19370101,19471231,1937 - 1947,13.26 Firmen W,"Westerhold, Wilhelm, Buch- und Zeitschriftenhandlung, Bielefeld",,20 Bl.,"Westerhold, Wilhelm"
F 10352,19340101,19431231,1934 - 1943,13.26 Firmen W,"Westerlund A./B., R. E., Musikverlag, Musikalien- und Instrumentenhandlung, Direktor Hermann Koch, Helsingfors (Helsinki, Finnland)",,7 Bl.,"Westerlund, R. E."
F 10353,19370101,19391231,1937 - 1939,13.26 Firmen W,"Westermair's Bayerischer Volksmusikverlag, Johann B., Verlag und Sortiment, Inhaberin L. E. Rau geb. Westermair, München",,2 Bl.,"Westermair, Johann B."
F 10354,19350101,19591231,1935 - 1959,13.26 Firmen W,"Westermann, Georg, Verlagsbuchhandlung, Buchdruckerei, Buchbinderei, Kartographische Anstalt, Verlagsdirektor Ernst Sandig, Braunschweig",,45 Bl.,"Westermann, Georg"
F 10355,19250101,19411231,1925 - 1941,13.26 Firmen W,"Westermann Co., Inc., B., Sortiment und Export-Buchhandlung, Geschäftsführer Ludwig Sirk, New York und Berlin",,109 Bl.,"Westermann, B."
F 10356,19410101,19411231,1941,13.26 Firmen W,"Westfalen-Kaufhaus A.-G., Abt. ""Spiel"", Buchvertrieb, Gelsenkirchen",,1 Bl.,Westfalen-Kaufhaus
